Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.InternationalBankAccountNumber.Validator.Tests\DocumentNumber.InternationalBankAccountNumber.Validator.Tests.csproj,File,tests\DocumentNumber.InternationalBankAccountNumber.Validator.Tests\DocumentNumber.InternationalBankAccountNumber.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.AmericaExpress.Validator.Tests\DocumentNumber.PaymentCardNumber.AmericaExpress.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.AmericaExpress.Validator.Tests\DocumentNumber.PaymentCardNumber.AmericaExpress.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.AmericanExpress.Generator.Tests\DocumentNumber.PaymentCardNumber.AmericanExpress.Generator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.AmericanExpress.Generator.Tests\DocumentNumber.PaymentCardNumber.AmericanExpress.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.Common.Tests\DocumentNumber.PaymentCardNumber.Common.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.Common.Tests\DocumentNumber.PaymentCardNumber.Common.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.Maestro.Generator.Tests\DocumentNumber.PaymentCardNumber.Maestro.Generator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.Maestro.Generator.Tests\DocumentNumber.PaymentCardNumber.Maestro.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.Maestro.Validator.Tests\DocumentNumber.PaymentCardNumber.Maestro.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.Maestro.Validator.Tests\DocumentNumber.PaymentCardNumber.Maestro.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.MaestroUK.Generator.Tests\DocumentNumber.PaymentCardNumber.MaestroUK.Generator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.MaestroUK.Generator.Tests\DocumentNumber.PaymentCardNumber.MaestroUK.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.MaestroUK.Validator.Tests\DocumentNumber.PaymentCardNumber.MaestroUK.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.MaestroUK.Validator.Tests\DocumentNumber.PaymentCardNumber.MaestroUK.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.Mastercard.Generator.Tests\DocumentNumber.PaymentCardNumber.Mastercard.Generator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.Mastercard.Generator.Tests\DocumentNumber.PaymentCardNumber.Mastercard.Generator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\DocumentNumber.PaymentCardNumber.Mastercard.Validator.Tests\DocumentNumber.PaymentCardNumber.Mastercard.Validator.Tests.csproj,File,tests\DocumentNumber.PaymentCardNumber.Mastercard.Validator.Tests\DocumentNumber.PaymentCardNumber.Mastercard.Validator.Tests.csproj,,,,,,,,Current target framework: net6.0;net7.0;net462;net472;net48;net481 Recommended target framework: net6.0;net7.0;net462;net472;net48;net481;net10.0
